results: Entity,Day,Count,Momentum,Positive,Negative
33312449,2009-12-06,56,0.328478,0.0822221,0.0214286
33312449,2009-12-07,489,0.419702,0.0717384,0.0143119
33312449,2009-12-08,424,0.379794,0.0822655,0.010767
33312449,2009-12-09,349,0.371733,0.0461851,0.00993971
33312449,2009-12-10,664,0.457981,0.0462665,0.00720652
33312449,2009-12-11,513,0.508138,0.105417,0.0135426
33312449,2009-12-12,100,0.419315,0.0968384,0.0196135
33312449,2009-12-13,72,0.297388,0.137371,0.0387073
33312449,2009-12-14,289,0.267764,0.0485913,0.0241788
33312449,2009-12-15,446,0.358375,0.0645139,0.0140524
33312449,2009-12-16,1957,0.61987,0.0908523,0.0120137
33312449,2009-12-17,433,0.551545,0.0617775,0.0105685
33312449,2009-12-18,298,0.392873,0.0899707,0.0179768
33312449,2009-12-19,74,0.390319,0.0658392,0.0277992
33312449,2009-12-20,59,0.339536,0.0865266,0.0153467
33312449,2009-12-21,682,0.537067,0.0667208,0.0272453
33312449,2009-12-22,1133,0.666325,0.0384369,0.0202098
33312449,2009-12-23,806,0.652343,0.0446386,0.0244178
33312449,2009-12-24,156,0.407617,0.0702475,0.0128634
33312449,2009-12-25,40,0.311485,0.0322513,0.00725807
33312449,2009-12-26,54,0.311123,0.0743573,0.010101
33312449,2009-12-27,38,0.266244,0.0838334,0.0284639
33312449,2009-12-28,151,0.305798,0.0432127,0.0238247
33312449,2009-12-29,263,0.359721,0.0812159,0.0101157
33312449,2009-12-30,330,0.40039,0.103477,0.0171541
33312449,2009-12-31,192,0.35121,0.103069,0.046234
33312449,2010-01-01,46,0.283205,0.0783695,0.0723104
33312449,2010-01-02,53,0.273492,0.0597983,0.0309387
33312449,2010-01-03,65,0.290776,0.11498,0.0553217
33312449,2010-01-04,314,0.264537,0.108991,0.0344301
33312449,2010-01-05,402,0.245314,0.0822333,0.00309145
33312449,2010-01-06,584,0.30667,0.0447962,0.0533604
33312449,2010-01-07,1266,0.483749,0.0424189,0.0067201
33312449,2010-01-08,704,0.468073,0.048049,0.0121068
33312449,2010-01-09,223,0.503833,0.0302759,0.0215024
33312449,2010-01-10,107,0.31659,0.0668955,0.00957497
33312449,2010-01-11,448,0.356312,0.0259114,0.0439616
33312449,2010-01-12,485,0.29537,0.0491227,0.00878756
33312449,2010-01-13,829,0.247981,0.0511439,0.0115524
33312449,2010-01-14,665,0.288113,0.0712595,0.0190005
33312449,2010-01-15,868,0.318649,0.0595331,0.0557286
33312449,2010-01-16,212,0.305942,0.0405069,0.0710125
33312449,2010-01-17,197,0.300556,0.0421069,0.0519985
33312449,2010-01-18,417,0.31537,0.0560901,0.0227249
33312449,2010-01-19,894,0.378617,0.053354,0.0441427
33312449,2010-01-20,1235,0.467412,0.0594981,0.0149419
33312449,2010-01-21,1056,0.421586,0.0575816,0.0153814
33312449,2010-01-22,615,0.337989,0.091944,0.0213087
33312449,2010-01-23,97,0.316271,0.12114,0.0204566
33312449,2010-01-24,254,0.503473,0.0595107,0.0192488
33312449,2010-01-25,292,0.266566,0.0748019,0.0251116
33312449,2010-01-26,432,0.283215,0.0672028,0.0123008
33312449,2010-01-27,469,0.285794,0.0653881,0.0318414
33312449,2010-01-28,924,0.438997,0.130199,0.0341203
33312449,2010-01-29,1001,0.446211,0.182539,0.0519221
33312449,2010-01-30,168,0.344163,0.146034,0.00184729
33312449,2010-01-31,98,0.239344,0.12174,0.0996914
33312449,2010-02-01,471,0.298139,0.0844729,0.0245313
33312449,2010-02-02,502,0.329949,0.0689529,0.0397336
33312449,2010-02-03,664,0.381559,0.0704534,0.0221586
33312449,2010-02-04,669,0.288731,0.0537476,0.0187541
33312449,2010-02-05,698,0.35022,0.0734365,0.0202253
33312449,2010-02-06,175,0.321201,0.0483256,0.00698488
33312449,2010-02-07,158,0.292961,0.156273,0.0
33312449,2010-02-08,289,0.286988,0.0387028,0.0247058
33312449,2010-02-09,612,0.277654,0.0645178,0.0148911
33312449,2010-02-10,508,0.293187,0.0714428,0.0220597
33312449,2010-02-11,567,0.329583,0.0606519,0.0172531
33312449,2010-02-12,947,0.45638,0.0659714,0.0179042
33312449,2010-02-13,198,0.403773,0.0532513,0.0093055
33312449,2010-02-14,147,0.334951,0.0891189,0.0411702
33312449,2010-02-15,1134,0.625046,0.0682381,0.0148056
33312449,2010-02-16,715,0.467249,0.0616119,0.0144759
33312449,2010-02-17,758,0.390848,0.0425704,0.0172164
33312449,2010-02-18,1456,0.468075,0.0860075,0.0162657
33312449,2010-02-19,799,0.429624,0.0961754,0.0220488
33312449,2010-02-20,214,0.410151,0.0418419,0.0145227
33312449,2010-02-21,119,0.3457,0.103638,0.0240125
33312449,2010-02-22,475,0.310902,0.075768,0.0226042
33312449,2010-02-23,610,0.260691,0.0550553,0.00947454
33312449,2010-02-24,954,0.250417,0.0471665,0.0132402
33312449,2010-02-25,696,0.302865,0.0592172,0.0423313
33312449,2010-02-26,437,0.294295,0.095965,0.0533453
33312449,2010-02-27,166,0.356798,0.0946888,0.032713
33312449,2010-02-28,148,0.280793,0.0864547,0.0144319
33312449,2010-03-01,606,0.304643,0.06385,0.0213255
33312449,2010-03-02,1060,0.395306,0.043717,0.0114165
33312449,2010-03-03,516,0.39617,0.0764904,0.0154265
33312449,2010-03-04,789,0.383483,0.0539882,0.00685454
33312449,2010-03-05,1408,0.607976,0.0789931,0.00687733
33312449,2010-03-06,185,0.473218,0.0600666,0.00642837
33312449,2010-03-07,117,0.348729,0.0686862,0.0217778
33312449,2010-03-08,644,0.371175,0.0599519,0.0170531
33312449,2010-03-09,642,0.319368,0.0562022,0.0127007
33312449,2010-03-10,581,0.307164,0.078336,0.0214909
33312449,2010-03-11,634,0.382705,0.0675003,0.0102742
33312449,2010-03-12,427,0.299187,0.0451998,0.022019
33312449,2010-03-13,75,0.28288,0.0506498,0.0124281
33312449,2010-03-14,103,0.242178,0.0906684,0.0
33312449,2010-03-15,710,0.424742,0.0431456,0.0120924
33312449,2010-03-16,803,0.430849,0.0447189,0.00882897
33312449,2010-03-17,836,0.469769,0.0636284,0.0124652
33312449,2010-03-18,728,0.411752,0.0534658,0.0160616
33312449,2010-03-19,474,0.358788,0.0600269,0.0103856
33312449,2010-03-20,90,0.359024,0.0939507,0.0046805
33312449,2010-03-21,48,0.218559,0.0302466,0.00480769
33312449,2010-03-22,426,0.252304,0.0635917,0.0324552
33312449,2010-03-23,273,0.201926,0.0583119,0.0178327
33312449,2010-03-24,502,0.248273,0.0684437,0.00854376
33312449,2010-03-25,350,0.267537,0.058366,0.00618503
33312449,2010-03-26,325,0.256454,0.0535311,0.0311067
33312449,2010-03-27,98,0.277273,0.0365653,0.00887268
33312449,2010-03-28,67,0.193748,0.0591581,0.010333
33312449,2010-03-29,482,0.285295,0.0723422,0.0155152
33312449,2010-03-30,430,0.252685,0.0225037,0.0142118
33312449,2010-03-31,640,0.357724,0.0747671,0.0169031
33312449,2010-04-01,655,0.374342,0.0392188,0.0123242
33312449,2010-04-02,460,0.383683,0.0364235,0.0157662
33312449,2010-04-03,52,0.267539,0.0588159,0.010406
33312449,2010-04-04,65,0.264419,0.04145,0.0
33312449,2010-04-05,647,0.391912,0.085824,0.043235
33312449,2010-04-06,647,0.410385,0.0433014,0.0104841
33312449,2010-04-07,425,0.304475,0.0507206,0.0147285
33312449,2010-04-08,424,0.307912,0.0528881,0.00847824
33312449,2010-04-09,431,0.34306,0.0677788,0.0327554
33312449,2010-04-10,90,0.336232,0.0533583,0.0027027
33312449,2010-04-11,108,0.329065,0.0559153,0.0727786
